tags: active-korean 한국어학원

#[sound:~~~어요.mp3]	~~~어요<hr/>~~~세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">xxx다</div><div class="불규칙">(“?” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">***십니다</div>***습니다</div><div class="해요체"><div class="높임">~~~세요</div>~~~어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">+++셨습니다</div>+++었습니다</div><div class="해요체"><div class="높임">¤¤¤셨어요</div>¤¤¤었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">xxx실 겁니다</div>xxx 겁니다</div><div class="해요체"><div class="높임">xxx실 거예요</div>xxx 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">xxx시고</div>xxx고</div><div class="연결"><div class="높임">xxx시지만</div>xxx지만</div><div class="연결"><div class="높임">xxx시는데</div>xxx는데</div><div class="연결"><div class="높임">xxx시면</div>xxx면</div><div class="연결"><div class="높임">xxx셔서</div>xxx서</div></div></div>	il --------<p class="small">(해요체, registre informel poli)</p>

[sound:수고.mp3]	수고	(dur) travail, labeur
[sound:그려요.mp3]	그<span class="불규칙">려</span>요<hr/>그리세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">그리다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">그리십니다</div>그립니다</div><div class="해요체"><div class="높임">그리세요</div>그려요</div></div><div class="과거"><div class="하십시오체"><div class="높임">그리셨습니다</div>그렸습니다</div><div class="해요체"><div class="높임">그리셨어요</div>그렸어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">그리실 겁니다</div>그릴 겁니다</div><div class="해요체"><div class="높임">그리실 거예요</div>그릴 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">그리시고</div>그리고</div><div class="연결"><div class="높임">그리시지만</div>그리지만</div><div class="연결"><div class="높임">그리시는데</div>그리는데</div><div class="연결"><div class="높임">그리시면</div>그리면</div><div class="연결"><div class="높임">그리셔서</div>그려서</div></div></div>	il dessine<p class="small">(해요체, registre informel poli)</p>

[sound:준비해요.mp3]	준비해요<hr/>준비하세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">준비하다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">준비하십니다</div>준비합니다</div><div class="해요체"><div class="높임">준비하세요</div>준비해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">준비하셨습니다</div>준비했습니다</div><div class="해요체"><div class="높임">준비하셨어요</div>준비했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">준비하실 겁니다</div>준비할 겁니다</div><div class="해요체"><div class="높임">준비하실 거예요</div>준비할 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">준비하시고</div>준비하고</div><div class="연결"><div class="높임">준비하시지만</div>준비하지만</div><div class="연결"><div class="높임">준비하시는데</div>준비하는데</div><div class="연결"><div class="높임">준비하시면</div>준비하면</div><div class="연결"><div class="높임">준비하셔서</div>준비해서</div></div></div>	il prépare<p class="small">(해요체, registre informel poli)</p>

[sound:회의해요.mp3]	회의해요<hr/>회의하세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">회의하다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">회의하십니다</div>회의합니다</div><div class="해요체"><div class="높임">회의하세요</div>회의해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">회의하셨습니다</div>회의했습니다</div><div class="해요체"><div class="높임">회의하셨어요</div>회의했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">회의하실 겁니다</div>회의할 겁니다</div><div class="해요체"><div class="높임">회의하실 거예요</div>회의할 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">회의하시고</div>회의하고</div><div class="연결"><div class="높임">회의하시지만</div>회의하지만</div><div class="연결"><div class="높임">회의하시는데</div>회의하는데</div><div class="연결"><div class="높임">회의하시면</div>회의하면</div><div class="연결"><div class="높임">회의하셔서</div>회의해서</div></div></div>	il est en réunion<p class="small">(해요체, registre informel poli)</p>


[sound:목욕.mp3]	목욕	bain
[sound:목욕탕.mp3]	목욕탕	bains publics
[sound:목욕하다.mp3]	목욕(을 )하다<p class="small light">/ 샤워하다</p>	prendre un bain, se baigner<p class="small light">/ prendre une douche</p>
